"","country","year","GFDD.DM.02","GFDD.DM.01","GFDD.SI.03","GFDD.SI.05","GFDD.EI.10","sh.F99100","sh.F99100_fs1","osh.F99100_fs1","sh.F99100_ps","gdp_per","unions_app","imports"
"1","Canada",1990,14.3153,89.759,NA,NA,NA,0.0641536906781804,0.00749185381488305,2.14891540015102,0.0641536906781804,20715.631483174,33.5,25.11576530658
"2","Canada",1991,13.4865,85.6666,NA,NA,NA,0.0618651054529665,0.00893608355869892,2.94048672820846,0.0618651054529665,21448.3619600057,34,25.0102092794052
"3","Canada",1992,11.8859,81.2432,NA,NA,NA,0.0600889508901811,0.00919769684597937,3.3434624115697,0.0600889508901811,21768.3432941828,35.3,24.9597785064919
"4","Canada",1993,12.2821,79.5665,NA,NA,NA,0.06320465490036,0.0117041466775675,4.25322604009389,0.06320465490036,20879.8483300891,35.6,26.6284833223699
"5","Canada",1994,17.6886,88.8188,NA,NA,NA,0.0651864254436226,0.0122010184075558,4.32000919091655,0.0651864254436226,20121.1612532855,35.7,29.2031511882762
"6","Canada",1995,24.2575,97.8832,NA,NA,NA,0.0676498958276646,0.0108308248586577,3.6332854705794,0.0676498958276646,19935.3814579208,34.3,31.7086485616974
"7","Canada",1996,28.1858,103.553,NA,NA,NA,0.0725044452951144,0.0142819652815203,4.61233597290736,0.0725044452951144,20613.7878829216,33.9,33.06899018424
"8","Canada",1997,35.7699,123.856,NA,NA,11.4961,0.0798606071314514,0.0169424761690609,4.91955316752877,0.0798606071314514,21227.3475315896,34.1,33.2704023112565
"9","Canada",1998,46.0091,144.217,NA,NA,8.17389,0.0842561968623516,0.0151061950894383,3.97604379178209,0.0842561968623516,21829.2334443229,32.4,36.3235977431132
"10","Canada",1999,53.4194,160.943,4.2,10.6,4.77589,0.0861867673220894,0.0154494453277405,3.81096338275128,0.0861867673220894,20952.0694643937,32.4,38.1837095044783
"11","Canada",2000,55.5649,187.388,4.7,11.7,6.68707,0.0955072622081465,0.0173979422325523,4.05514813812947,0.0955072622081465,22238.6645356943,31.8,38.3855770973002
"12","Canada",2001,68.6876,150.549,4.7,11.9,-0.719409,0.0946771881752665,0.0181335640644104,4.36645498006377,0.0946771881752665,24190.2496150045,31.2,38.6848309525818
"13","Canada",2002,71.7765,92.6903,4.6,12.3,6.10741,0.0894161314620062,0.0160836450510362,4.07742240550101,0.0894161314620062,23738.180723841,31,36.4325452321559
"14","Canada",2003,59.066,99.1042,4.6,12.4,8.24339,0.0899793789959285,0.0169951213385397,4.35174263262003,0.0899793789959285,24169.2847344718,30.3,35.7752982045513
"15","Canada",2004,56.8611,107.458,4.7,13.4,18.5551,0.093548787045981,0.0189386251437703,4.67599986910231,0.093548787045981,28200.6580773382,30.2,33.0908081710478
"16","Canada",2005,61.3154,105.715,5.6,13.3,17.2264,0.098654853196508,0.021035263037201,5.0122609638784,0.098654853196508,32034.3077408421,30.4,32.976857357275
"17","Canada",2006,72.541,117.871,4.7,12.9,12.5722,0.104067845755961,0.0223686598167732,4.97821315984538,0.104067845755961,36266.1871235853,30.4,33.0079574997812
"18","Canada",2007,85.2841,125.509,4.1,15.4,14.1001,0.10387024229704,0.0222877374209282,4.93756351728817,0.10387024229704,40385.869955477,30.1,32.7452558525727
"19","Canada",2008,104.695,136.714,3.7,14.8,11.9952,0.0956085680805626,0.0184215098429026,4.2693750514482,0.0956085680805626,44543.0410359004,30.2,32.1379546142055
"20","Canada",2009,106.603,105.965,3.5,12.2,12.8819,0.0866805371874321,0.0164006994589907,4.11325774925404,0.0866805371874321,46594.4509535289,29.8,32.7098721477044
"21","Canada",2010,100.119,96.5087,4.5,14.7,10.5606,0.0873105990384934,0.0187045775591611,4.81065003693516,0.0873105990384934,40773.061528975,30.7,30.0344208273121
"22","Canada",2011,89.6539,125.207,4.6593,15.565,23.3329,0.0879268285503823,0.0194364868484718,4.97512774329431,0.0879268285503823,47448.0132198383,30.1,31.1138532402079
"23","Canada",2012,82.7837,117.757,4.89495,15.8858,32.5266,0.0854170141314238,0.0177797387989595,4.61473682105136,0.0854170141314238,52087.446383568,29.8,31.8947953638635
"24","Canada",2013,77.5913,109.235,4.89764,16.1555,19.0147,0.0843863889507064,0.0183214921795729,4.89844485723692,0.0843863889507064,52678.3901234772,29.8,32.2425234169127
"25","Canada",2014,71.9362,112.402,4.96412,14.3298,17.4891,0.086531895097246,0.0198854485684958,5.19780086454705,0.086531895097246,52652.5936828278,29.2,31.8991362329537
"26","Canada",2015,72.447,114.269,4.94325,14.2311,17.4186,0.0916019797603825,0.0210475802006448,5.08773288980878,0.0916019797603825,50893.4467137547,29.3,32.6420862831515
"27","Canada",2016,73.327,110.584,5.06783,14.1979,15.9765,0.0801041343398061,0.0197239482632548,5.45389717508042,0.0801041343398061,43585.5119817751,29.4,34.3149411035338
"28","Canada",2017,72.9138,116.363,5.16056,14.7736,16.9891,0.084155992672187,0.021277576217969,5.66728806077594,0.084155992672187,42322.4847803038,NA,33.8611121122194
"29","Canada",2018,75.0644,134.45,5.22325,14.8137,18.1161,0.0840935927959421,0.0203588312749587,5.39927253585288,0.0840935927959421,45148.5527061655,NA,33.6232145334166
"30","Canada",2019,NA,NA,NA,NA,NA,0.084035433600793,0.019893941194128,5.14853105105867,0.084035433600793,46313.1713712961,NA,34.0360616874474
"31","Czechia",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Czechia",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Czechia",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Czechia",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Czechia",1994,0.561846,4.11815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Czechia",1995,1.80727,8.0941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Czechia",1996,3.67726,13.2285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Czechia",1997,6.7032,17.406,NA,NA,13.3473,NA,NA,NA,NA,NA,NA,NA
"39","Czechia",1998,9.05319,18.7963,NA,NA,-2.89379,NA,NA,NA,NA,NA,NA,NA
"40","Czechia",1999,8.00043,16.2561,NA,12,-26.7494,NA,NA,NA,NA,NA,NA,NA
"41","Czechia",2000,6.45263,15.6936,6.3,13.2,-6.09679,NA,NA,NA,NA,NA,NA,NA
"42","Czechia",2001,8.27137,15.7206,5.4,17.4,9.07521,NA,NA,NA,NA,NA,NA,NA
"43","Czechia",2002,7.70979,13.579,5.2,15,16.0547,0.0574842155954949,0.0112118341073545,7.65449926952918,0.0574842155954949,6637.04165713981,23.8,50.1559443005111
"44","Czechia",2003,6.11607,12.1573,5.2,14.3,29.0913,0.056567683597482,0.0105905492767372,7.74470936886022,0.056567683597482,8060.86870292424,22.4,46.3305217203237
"45","Czechia",2004,7.86485,13.782,5.7,14.5,28.8183,0.0566440475510235,0.0112775456770786,8.59292207360321,0.0566440475510235,9818.56849307488,22.3,48.2454810636058
"46","Czechia",2005,11.679,18.5784,5.2,12.5,25.8196,0.0572732195115721,0.0107621480962129,8.1836008178797,0.0572732195115721,11749.8526643577,20.6,56.431120090335
"47","Czechia",2006,19.7257,23.4774,5.4,11.9,22.0701,0.0623970151915112,0.011068093915589,7.65133436656608,0.0623970151915112,13430.6698955613,19.1,59.4847335388564
"48","Czechia",2007,21.2055,26.4196,6,11.4,22.9927,0.0620443391407604,0.00982105250356994,6.14432928654018,0.0620443391407604,15261.7975911138,18.1,62.1529584259566
"49","Czechia",2008,18.4823,31.2467,5.7,11.1,28.2952,0.0661889964946246,0.010941398146957,7.04972373188378,0.0661889964946246,18466.5479299216,17.4,63.6782481196559
"50","Czechia",2009,16.7696,26.763,5.5,11.6,19.888,0.0676871328225641,0.0106105232031124,6.1543164542722,0.0676871328225641,22804.5776774507,16.9,60.7908510312007
"51","Czechia",2010,13.5794,23.6212,6.1,14,24.0907,0.0647595875407368,0.0103939182479669,6.1451496992891,0.0647595875407368,19861.6974295256,16.7,54.4518147241498
"52","Czechia",2011,11.8135,23.2694,6.4864,15.2747,19.531,0.0662772263238588,0.0105730337033576,6.1956114689745,0.0662772263238588,19960.0684872157,16.1,62.4859061276726
"53","Czechia",2012,9.77677,18.7192,6.49172,14.9736,16.8061,0.068038001000151,0.0126294635963362,6.99854929509039,0.068038001000151,21871.2660754128,15.4,67.040951691926
"54","Czechia",2013,8.81945,17.5542,6.87457,15.6217,19.9738,0.0628719329446628,0.00871130199173683,4.9434031484871,0.0628719329446628,19870.8012123403,14.8,70.8826700109956
"55","Czechia",2014,7.17234,NA,7.20862,16.521,16.5352,0.0630599899671702,0.00947545167279581,5.39020071421494,0.0630599899671702,20133.1691431353,13.6,70.3640354339119
"56","Czechia",2015,5.38777,NA,7.30279,16.9825,14.4108,0.0617502583121388,0.00879614370551294,5.28620794357524,0.0617502583121388,19890.9199056648,12.9,75.6207076036768
"57","Czechia",2016,NA,NA,7.52466,17.5731,14.6535,0.061409530330489,0.00842513652311598,5.07401645254895,0.061409530330489,17829.6983223668,12,74.6168853659096
"58","Czechia",2017,NA,NA,7.25731,17.6569,16.4018,NA,NA,NA,NA,NA,NA,NA
"59","Czechia",2018,NA,NA,6.48019,18.0672,18.5774,NA,NA,NA,NA,NA,NA,NA
"60","Denmark",1990,8.22464,28.9118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Denmark",1991,10.2864,31.3065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Denmark",1992,7.75672,29.6815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Denmark",1993,8.46849,26.2729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Denmark",1994,11.936,24.5109,NA,NA,NA,0.0359463800128012,0.00215485178246285,1.7822440820651,0.0359463800128012,27597.9752286357,76.7,29.0387156246129
"65","Denmark",1995,14.811,28.1265,NA,NA,NA,0.0362561976421596,0.00224392374874589,1.85259533654453,0.0362561976421596,29995.5796235479,76.5,30.9285944300639
"66","Denmark",1996,15.0454,29.6907,NA,NA,NA,0.0361069665849017,0.00227330033051651,2.00830006790611,0.0361069665849017,35351.3654606819,75.9,31.9026457360928
"67","Denmark",1997,15.7818,33.4734,NA,NA,16.7682,0.0361285643407995,0.00219988864268699,2.05113195233274,0.0361285643407995,35650.7140860994,76.4,31.4038823862481
"68","Denmark",1998,21.2107,45.0391,NA,NA,14.397,0.0374077639137139,0.00257940376887249,2.28920171414411,0.0374077639137139,32835.9399398833,75.2,33.4056013518683
"69","Denmark",1999,31.198,54.1609,6.3,10.7,14.2236,0.037444120329034,0.00267562800579985,2.40161566724539,0.037444120329034,33368.142415092,76.3,34.1125582027396
"70","Denmark",2000,33.8692,54.2155,6.1,11.1,12.8472,0.0382940108676252,0.00314636834723889,2.76601912227378,0.0382940108676252,33440.7948054204,74.6,33.3487612672171
"71","Denmark",2001,42.0055,59.8123,NA,NA,13.25,0.0385270174256853,0.00335600833993681,3.04145140616095,0.0385270174256853,30743.5476816354,74.5,38.1366854891628
"72","Denmark",2002,46.8104,59.1309,5.9,NA,14.5628,0.0383989003657811,0.00354553468146998,3.14823650374554,0.0383989003657811,30751.654348268,73.9,38.4140819246082
"73","Denmark",2003,28.8675,46.9046,5.7,13.5,15.6006,0.0385582093080158,0.00370053521870935,3.18123433786761,0.0385582093080158,33228.6935448819,73.6,38.852495620333
"74","Denmark",2004,19.1066,49.2464,5.9,13.8,20.423,0.0387569662046682,0.00357390139899886,3.27347294284086,0.0387569662046682,40458.7773986609,72.4,37.0432985323193
"75","Denmark",2005,23.2543,56.9778,5.7,13.4,16.8865,0.0395414480511147,0.0037547020812905,3.39751754058221,0.0395414480511147,46511.5983324305,71.7,38.2793303141397
"76","Denmark",2006,47.2963,62.5294,4.9,11.5,19.4213,0.0407355236989692,0.00427009502756926,3.75936703645802,0.0407355236989692,48799.8256011275,71.5,41.9476153409526
"77","Denmark",2007,58.5429,72.7997,5.7,NA,21.0756,0.0415916460567883,0.00472733502989349,4.05283457091338,0.0415916460567883,52026.9995142723,69.7,46.6366891837203
"78","Denmark",2008,68.1003,83.0217,6.2,10.6,16.0443,0.0424412004436064,0.00471633613502799,3.85408248810708,0.0424412004436064,58487.0549677696,69,48.5853161257883
"79","Denmark",2009,67.6961,61.6847,5.5,12.4,-2.21167,0.0393865274663179,0.00421546446943285,3.84600597622771,0.0393865274663179,64322.0635020842,67.6,50.6524324898078
"80","Denmark",2010,55.199,48.9679,5.5,16.1,-5.24791,0.0461561124306488,0.005809667134358,4.58309815534158,0.0461561124306488,58163.2768762815,67.7,42.6289658299793
"81","Denmark",2011,45.0176,64.4109,5.43221,16.0065,4.63519,0.045660970712102,0.0056752875689894,4.5813508834794,0.045660970712102,58041.3984363385,67.2,43.5770492484191
"82","Denmark",2012,44.5547,62.4303,5.05367,17.1921,1.89753,0.0449710881098297,0.00509700709431489,4.18005850240648,0.0449710881098297,61753.647131977,67.8,47.4256465609762
"83","Denmark",2013,38.4174,61.1841,5.26561,18.8772,4.28434,0.0459391170243781,0.00584802381431907,4.68863154241311,0.0459391170243781,58507.5080517852,68,48.610476322948
"84","Denmark",2014,NA,NA,7.04978,19.2353,5.91612,0.0462579754185187,0.00526568903643507,4.34562485123695,0.0462579754185187,61191.1937042028,67.8,48.2213220971567
"85","Denmark",2015,NA,NA,7.31087,18.2095,4.39539,0.0465655189764327,0.00503810845553362,4.28383029964639,0.0465655189764327,62548.9847332908,67.4,47.6507769059402
"86","Denmark",2016,NA,NA,7.7908,19.7934,8.59722,0.0471180587807842,0.00528827723884974,4.4462161606378,0.0471180587807842,53254.8563700916,67.1,48.6300540046819
"87","Denmark",2017,NA,NA,7.38626,20.7706,11.0564,0.0472753540636384,0.00515858753143011,4.45094118133434,0.0472753540636384,54663.9983719195,65.5,46.7428482622986
"88","Denmark",2018,NA,NA,6.88001,21.711,16.2113,0.0474985594364079,0.0053158894900751,4.54353426055532,0.0474985594364079,57610.0981801136,66.1,47.9020131257278
"89","France",1990,8.32625,26.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","France",1991,9.95909,28.0181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","France",1992,9.54653,26.0454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","France",1993,8.89639,25.4082,NA,NA,NA,0.0536639895531242,0.0060869730587384,1.90733957855982,0.0536639895531242,23813.7118417151,10.4,20.6610532607475
"93","France",1994,10.2202,28.8726,NA,NA,NA,0.0561830453406389,0.00732317577119179,2.22507509795996,0.0561830453406389,22380.1039619355,10,19.1125443145592
"94","France",1995,13.2709,33.0062,NA,NA,NA,0.0553174554654538,0.00672665321180525,2.12707537263874,0.0553174554654538,23496.5233222666,9.7,20.1659170058998
"95","France",1996,13.774,31.405,NA,NA,NA,0.0551756795955814,0.00678461513520771,2.1187454706346,0.0551756795955814,26890.2198804535,9.3,21.0232025170056
"96","France",1997,14.857,33.5209,NA,NA,3.11845,0.0559858292113854,0.00746113876602888,2.38855377890269,0.0559858292113854,26871.8290189054,9.2,21.2736750818117
"97","France",1998,21.6819,40.9082,NA,NA,4.66805,0.0574731951082417,0.00788080263001587,2.54731613544807,0.0574731951082417,24228.9423508964,9.2,22.5103014673064
"98","France",1999,33.0679,55.0167,6.4,NA,6.97032,0.0597015870527592,0.00857398584214184,2.74207755674344,0.0597015870527592,24974.2721990005,9.4,23.380274814039
"99","France",2000,43.5594,81.785,6.8,12.7,8.78545,0.0619239287681369,0.00911480080478094,2.87794158337909,0.0619239287681369,24673.1989691744,9.6,23.6843852136939
"100","France",2001,62.5723,100.901,6.7,11.9,10.6463,0.0637038382099762,0.00988692983959978,3.16234721990522,0.0637038382099762,22364.0293943406,9.5,27.2662714690058
"101","France",2002,73.9665,94.0251,6.7,12.1,12.4178,0.0653393159744843,0.0101837077126661,3.21830377619823,0.0653393159744843,22433.5557141945,9.4,26.6934728903914
"102","France",2003,69.3375,74.0833,6.8,11.5,10.5495,0.065133695539179,0.00936676168037958,2.96800931193539,0.065133695539179,24177.3351674642,9.5,25.5409745004028
"103","France",2004,63.8178,68.4685,5.4,11.9,10.4731,0.0657918684972875,0.0104103254762772,3.27356484340357,0.0657918684972875,29568.385949668,9.2,24.6858645485955
"104","France",2005,60.0994,72.2811,5.1,11.5,14.9663,0.0668897465524684,0.0101645477392219,3.11027098621667,0.0668897465524684,33741.2651469175,8.9,25.4561715567725
"105","France",2006,59.2553,75.6973,4.4,11.3,13.2768,0.0676542948773784,0.0109462923854014,3.35335545413144,0.0676542948773784,34760.1877663866,8.6,26.947655734595
"106","France",2007,71.2317,90.8005,4.5,10.9,23.0588,0.069865974476821,0.0130268956496893,3.96966587521131,0.069865974476821,36443.6234414411,8.6,28.16836935943
"107","France",2008,95.4891,101.17,4.1,10.2,4.89755,0.0696671958526966,0.0166076866457482,4.68333192299712,0.0696671958526966,41508.4339850416,8.5,28.5674990728149
"108","France",2009,95.1054,76.1809,3.7,10.5,-13.8498,0.0665800695215858,0.0138467977050498,3.87452033084081,0.0665800695215858,45334.1144358246,8.5,29.2776980294924
"109","France",2010,66.3015,62.0229,4.1,12.4,7.495,0.067197894059406,0.0140578511540405,3.85699841116709,0.067197894059406,41575.4187483737,8.8,25.6269036398058
"110","France",2011,48.7376,71.3354,4.87776,12.6707,9.61158,0.0680526782244793,0.0147327223894771,4.08766075637032,0.0680526782244793,40638.33400426,9,28.0794912416196
"111","France",2012,48.0733,62.3759,4.75358,12.3243,3.38602,0.0669328130313567,0.0138911116349662,3.86016154857871,0.0669328130313567,43790.7320482019,9.1,30.369238945981
"112","France",2013,43.0071,60.4968,5.20127,14.4967,9.81499,0.066857740626753,0.0139065618331091,3.78770889877298,0.066857740626753,40874.7035053457,9.1,30.499031981938
"113","France",2014,39.4163,74.1428,5.8183,15.3844,10.8609,0.0699257032672027,0.0150317182084978,3.60346766747064,0.0699257032672027,42592.9340943342,9,30.3993172078638
"114","France",2015,39.9043,76.9781,5.28241,16.3486,2.71319,0.072951707795586,0.0186254840993844,3.79876657972721,0.072951707795586,43011.2631028417,9,30.8121120215465
"115","France",2016,NA,78.6146,5.79397,17.1002,9.46325,0.0736450480248055,0.0188999825066745,3.93185102171274,0.0736450480248055,36638.184929157,9,31.1590715564548
"116","France",2017,NA,85.6804,5.94149,17.7519,10.9196,0.0736635790728354,0.0183979484858728,3.93322236400133,0.0736635790728354,37037.3741861219,9,30.852605198715
"117","France",2018,NA,95.5836,6.59403,18.9077,13.0012,0.0741855610779474,0.0166978679978942,3.48251539578848,0.0741855610779474,38812.1610341682,8.9,32.0132141063066
"118","France",2019,NA,NA,NA,NA,NA,0.071047244092701,0.0164880869089697,3.6603071291776,0.071047244092701,41631.0907389044,8.8,32.7600397680845
"119","Germany",1990,24.1661,21.5455,NA,NA,NA,0.0339984236009458,0.00114451194910483,0.756277582789252,0.0339984236009458,17764.376445833,32.4,22.9162981574802
"120","Germany",1991,26.873,22.1997,NA,NA,NA,0.0341436378133447,0.00109848982905817,0.735150004680015,0.0341436378133447,22303.9613266628,31.2,23.0277510180834
